BLOCK,AREA,WIDTH,HEIGHT,"ASPECT RATIO
RANGE","EDGE
HARD MACRO
SOFT",LOCATION,PORT EDGE,FT CONVERSION,,,
,,,,,,,,<=3000,">3000, <=6000",">6000, <= 9000",>9000
BLK01,353638.5,419.5,843,1,EDGE,"TL,LT",3,20%,40%,80%,100%
BLK02,409985,,,"0.5,2",SOFT,,,20%,40%,80%,100%
BLK03,920640,959,960,1,MACRO,,0,20%,40%,80%,100%
BLK04,399000,665,600,1,EDGE,"RB,BR",1,20%,40%,80%,100%
BLK05,431211,,,"0.5,2",SOFT,,,20%,40%,80%,100%
BLK06,709216,592,1198,1,MACRO,,0,20%,40%,80%,100%
BLK07,372949,,,"0.5,2",SOFT,,,20%,40%,80%,100%
,,,,,,,,,,,
,,,,,,,,,,,
OUTLINE,WIDTH,HEIGHT,,,,,,,,,
MAX,2916,2220,,,,,,,,,
,,,,,,,,,,,
 α,0.2,,,,,,,,,,
,,,,,,,,,,,
CONN MATRIX,,,,,,,,,,,
ON CHIP INTERFACE CONNECTION (1-1) MATRIX,,,,,,,,,,,
,BLK01,BLK02,BLK03,BLK04,BLK05,BLK06,BLK07,,,,
BLK01,0,0,0,0,0,0,0,,,,
BLK02,0,0,900,800,500,400,200,,,,
BLK03,1200,300,0,1500,0,700,0,,,,
BLK04,0,0,0,0,0,0,0,,,,
BLK05,0,0,0,0,0,0,0,,,,
BLK06,0,700,0,200,0,0,0,,,,
BLK07,0,0,0,0,0,0,0,,,,
