BLOCK,AREA,WIDTH,HEIGHT,"ASPECT RATIO
RANGE","EDGE
HARD MACRO
SOFT",LOCATION,PORT EDGE,FT CONVERSION,,,,,,
,,,,,,,,<=3000,">3000, <=6000",">6000, <= 9000",>9000,,,
BLK01,352968,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK02,241366,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK03,407515,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK04,411763,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,
BLK05,327929,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK06,184868,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK07,342860,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,
BLK08,475150,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,
BLK09,75591,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK10,239030,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK11,267200,334,800,,EDGE,"LB,BL",,20%,40%,80%,100%,,,
BLK12,696994,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,
BLK13,408852,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,
BLK14,683802,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTLINE,WIDTH,HEIGHT,,,,,,,,,,,,
MAX,3600,2200,,,,,,,,,,,,
,,,,,,,,,,,,,,
 α,0.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CONN MATRIX,,,,,,,,,,,,,,
ON CHIP INTERFACE CONNECTION (1-1) MATRIX,,,,,,,,,,,,,,
,BLK01,BLK02,BLK03,BLK04,BLK05,BLK06,BLK07,BLK08,BLK09,BLK10,BLK11,BLK12,BLK13,BLK14
BLK01,0,0,515,0,1,0,0,11,0,0,24,0,0,1
BLK02,0,0,3155,3,0,618,0,6,0,0,25,0,0,0
BLK03,515,3155,0,0,751,0,2237,6,0,0,25,0,0,0
BLK04,0,3,0,0,0,1,1449,8,0,1,24,0,0,0
BLK05,1,0,751,0,0,3,1,6,0,0,25,0,0,0
BLK06,0,618,0,1,3,0,0,6,0,0,25,0,0,0
BLK07,0,0,2237,1449,1,0,0,3157,0,0,25,0,0,0
BLK08,11,6,6,8,6,6,3157,0,1159,9,3273,2188,817,9
BLK09,0,0,0,0,0,0,0,1159,0,2771,25,0,0,0
BLK10,0,0,0,1,0,0,0,9,2771,0,25,0,0,0
BLK11,24,25,25,24,25,25,25,3273,25,25,0,25,25,26
BLK12,0,0,0,0,0,0,0,2188,0,0,25,0,1,1520
BLK13,0,0,0,0,0,0,0,817,0,0,25,1,0,0
BLK14,1,0,0,0,0,0,0,9,0,0,26,1520,0,0
