BLOCK,AREA,WIDTH,HEIGHT,"ASPECT RATIO
RANGE","EDGE
HARD MACRO
SOFT",LOCATION,PORT EDGE,FT CONVERSION,,,,,,,,
,,,,,,,,<=3000,">3000, <=6000",">6000, <= 9000",>9000,,,,,
BLK01,2134322,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,,
BLK02,943211,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,,,
BLK03,2726000,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,,
BLK04,3948300,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,,,
BLK05,3243600,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,,,
BLK06,1735640,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,,
BLK07,1662680,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,,,
BLK08,3281904,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,,
BLK09,391500,300,1305,,EDGE,"LT,TL",3,20%,40%,80%,100%,,,,,
BLK10,391500,300,1305,,EDGE,"RT,TR",1,20%,40%,80%,100%,,,,,
BLK11,391500,300,1305,,EDGE,"LB,BL",3,20%,40%,80%,100%,,,,,
BLK12,391500,300,1305,,EDGE,"BR,RB",1,20%,40%,80%,100%,,,,,
BLK13,80000,100,800,,EDGE,LM,3,20%,40%,80%,100%,,,,,
BLK14,80000,800,100,,EDGE,BM,2,20%,40%,80%,100%,,,,,
BLK15,30000,100,300,,EDGE,RM,1,20%,40%,80%,100%,,,,,
BLK16,44000,440,100,,EDGE,TM,4,20%,40%,80%,100%,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OUTLINE,WIDTH,HEIGHT,,,,,,,,,,,,,,
MAX,6000,7000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 α,0.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CONN MATRIX,,,,,,,,,,,,,,,,
ON CHIP INTERFACE CONNECTION (1-1) MATRIX,,,,,,,,,,,,,,,,
,BLK01,BLK02,BLK03,BLK04,BLK05,BLK06,BLK07,BLK08,BLK09,BLK10,BLK11,BLK12,BLK13,BLK14,BLK15,BLK16
BLK01,0,418,0,2500,0,0,200,7999,300,400,0,0,0,0,0,0
BLK02,423,0,1500,1245,0,0,0,45,0,0,2000,0,0,0,0,0
BLK03,0,1500,0,3461,0,500,700,1768,0,0,0,0,0,0,2000,0
BLK04,124,453,24,0,982,632,4721,2131,0,0,0,0,0,0,0,0
BLK05,13,0,0,4213,0,100,2000,997,0,0,0,0,0,200,200,600
BLK06,0,787,500,123,100,0,1500,78,0,0,0,0,0,0,600,0
BLK07,200,0,700,2401,2000,1500,0,456,0,0,0,0,0,0,0,0
BLK08,50,896,909,4324,707,678,434,0,0,0,0,0,0,50,50,0
BLK09,571,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK10,541,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK11,567,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK12,553,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK14,20,0,0,0,200,0,700,50,0,0,0,0,0,0,0,0
BLK15,22,0,2000,0,200,600,0,50,0,0,0,0,0,0,0,0
BLK16,1,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0
