BLOCK,AREA,WIDTH,HEIGHT,"ASPECT RATIO
RANGE","EDGE
HARD MACRO
SOFT",LOCATION,FT CONVERSION,,,
,,,,,,,<=1000,">3000, <=6000",">6000, <= 9000",>9000
BLK01,214500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK02,509000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK03,219000,500,438,1,MACRO,,20%,40%,80%,100%
BLK04,472000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK05,738000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK06,390500,857,455.659,1,MACRO,,20%,40%,80%,100%
BLK07,867000,1065,814.085,1,MACRO,,20%,40%,80%,100%
BLK08,247500,730.5,338.809,1,MACRO,,20%,40%,80%,100%
BLK09,507500,587.5,863.83,1,MACRO,,20%,40%,80%,100%
BLK10,420000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK11,763500,1095,697.26,1,MACRO,,20%,40%,80%,100%
BLK12,490000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK13,711000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK14,316500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK15,841000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK16,191000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK17,166500,522.5,318.66,1,EDGE,BM,20%,40%,80%,100%
BLK18,911500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK19,416000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK20,201500,628.5,320.605,1,EDGE,RB,20%,40%,80%,100%
BLK21,223000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK22,509000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK23,404500,724.5,558.316,1,MACRO,,20%,40%,80%,100%
BLK24,493500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK25,286500,576.5,496.964,1,MACRO,,20%,40%,80%,100%
BLK26,334500,744,449.597,1,MACRO,,20%,40%,80%,100%
BLK27,838500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK28,819500,1152,711.372,1,EDGE,"BR,RB",20%,40%,80%,100%
BLK29,743500,1090,682.11,1,EDGE,RM,20%,40%,80%,100%
BLK30,666500,,,"0.5,2",SOFT,,20%,40%,80%,100%
,,,,,,,,,,
,,,,,,,,,,
OUTLINE,WIDTH,HEIGHT,,,,,,,,
MAX,5759.284,4607.427,,,,,,,,
,,,,,,,,,,
 α,0.2,,,,,,,,,
,,,,,,,,,,
CONN MATRIX,,,,,,,,,,
ON CHIP INTERFACE CONNECTION (1-1) MATRIX,,,,,,,,,,
,BLK01,BLK02,BLK03,BLK04,BLK05,BLK06,BLK07,BLK08,BLK09,BLK10,BLK11,BLK12,BLK13,BLK14,BLK15,BLK16,BLK17,BLK18,BLK19,BLK20,BLK21,BLK22,BLK23,BLK24,BLK25,BLK26,BLK27,BLK28,BLK29,BLK30
BLK01,0,0,1300,0,0,0,0,0,0,200,100,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK02,400,0,600,0,0,1300,0,0,800,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0
BLK03,0,0,0,0,0,0,1200,0,0,0,1900,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK04,0,0,0,0,100,0,0,0,200,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0
BLK05,1100,0,700,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
BLK06,0,0,0,1000,0,0,1800,1100,1900,0,0,0,1700,600,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK07,0,0,0,0,1500,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0
BLK08,0,0,0,0,0,0,0,0,0,1400,0,1100,0,0,0,0,0,0,300,0,0,0,1200,0,200,600,0,0,0,0
BLK09,0,0,0,1800,0,0,0,800,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,700
BLK10,0,0,900,0,0,0,0,0,900,0,900,2000,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0
BLK11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK12,0,0,0,0,0,0,100,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK14,0,0,0,0,0,1400,0,0,0,1900,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK15,0,0,0,0,0,1400,400,0,1300,0,0,0,0,0,0,0,0,0,0,0,1200,0,200,0,0,200,500,0,0,0
BLK16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0
BLK17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,1100,0,0
BLK18,0,0,0,0,0,700,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0
BLK19,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,1600,100,0,0,0,0,1600,0,0,0
BLK20,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,400,0,0,0,0,0,0,0,100,0,0,0
BLK21,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,900,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK22,0,0,800,0,0,400,0,0,0,0,600,0,0,0,0,0,0,0,1200,0,0,0,600,0,0,0,0,0,0,0
