BLOCK,AREA,WIDTH,HEIGHT,"ASPECT RATIO
RANGE","EDGE
HARD MACRO
SOFT",LOCATION,FT CONVERSION,,,
,,,,,,,<=1000,">3000, <=6000",">6000, <= 9000",>9000
BLK01,841000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK02,191000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK03,166500,522.5,318.66,1,MACRO,,20%,40%,80%,100%
BLK04,911500,968,941.632,1,MACRO,,20%,40%,80%,100%
BLK05,201500,628.5,320.605,1,EDGE,RB,20%,40%,80%,100%
BLK06,223000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK07,509000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK08,404500,724.5,558.316,1,MACRO,,20%,40%,80%,100%
BLK09,493500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK10,286500,576.5,496.964,1,MACRO,,20%,40%,80%,100%
BLK11,334500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK12,806000,893.5,902.071,1,MACRO,,20%,40%,80%,100%
BLK13,819500,1152,711.372,1,MACRO,,20%,40%,80%,100%
BLK14,743500,1090,682.11,1,EDGE,"TL,LT",20%,40%,80%,100%
BLK15,666500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK16,866500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK17,370500,551,672.414,1,MACRO,,20%,40%,80%,100%
BLK18,508500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK19,396000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK20,775000,1143,678.04,1,EDGE,"BR,RB",20%,40%,80%,100%
BLK21,344500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK22,821000,944,869.703,1,MACRO,,20%,40%,80%,100%
BLK23,906500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK24,914500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK25,177000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK26,354500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK27,152500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK28,944000,1005.5,938.836,1,MACRO,,20%,40%,80%,100%
BLK29,394000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK30,187500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK31,336000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK32,700500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK33,855000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK34,442000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK35,337500,742,454.852,1,MACRO,,20%,40%,80%,100%
BLK36,525000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK37,778000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK38,589500,680.5,866.275,1,EDGE,"BL,LB",20%,40%,80%,100%
BLK39,262500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK40,372500,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK41,882500,1141.5,773.106,1,EDGE,LM,20%,40%,80%,100%
BLK42,389000,,,"0.5,2",SOFT,,20%,40%,80%,100%
BLK43,884500,1157.5,764.147,1,EDGE,BM,20%,40%,80%,100%
BLK44,717500,931.5,770.263,1,MACRO,,20%,40%,80%,100%
BLK45,344500,869.5,396.205,1,MACRO,,20%,40%,80%,100%
BLK46,261500,603,433.665,1,MACRO,,20%,40%,80%,100%
BLK47,213000,618.5,344.382,1,MACRO,,20%,40%,80%,100%
BLK48,232000,431.5,537.659,1,EDGE,RT,20%,40%,80%,100%
BLK49,283500,725.5,390.765,1,MACRO,,20%,40%,80%,100%
BLK50,552000,,,"0.5,2",SOFT,,20%,40%,80%,100%
,,,,,,,,,,
,,,,,,,,,,
OUTLINE,WIDTH,HEIGHT,,,,,,,,
MAX,7556.1,6044.88,,,,,,,,
,,,,,,,,,,
 α,0.2,,,,,,,,,
,,,,,,,,,,
CONN MATRIX,,,,,,,,,,
ON CHIP INTERFACE CONNECTION (1-1) MATRIX,,,,,,,,,,
,BLK01,BLK02,BLK03,BLK04,BLK05,BLK06,BLK07,BLK08,BLK09,BLK10,BLK11,BLK12,BLK13,BLK14,BLK15,BLK16,BLK17,BLK18,BLK19,BLK20,BLK21,BLK22,BLK23,BLK24,BLK25,BLK26,BLK27,BLK28,BLK29,BLK30,BLK31,BLK32,BLK33,BLK34,BLK35,BLK36,BLK37,BLK38,BLK39,BLK40,BLK41,BLK42,BLK43,BLK44,BLK45,BLK46,BLK47,BLK48,BLK49,BLK50
BLK01,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,900,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0
BLK02,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK03,0,1800,0,0,0,0,0,0,0,0,0,1300,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK04,1000,700,0,0,0,2000,0,0,700,0,1200,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,300,0,0,0
BLK05,1200,0,0,1000,0,0,0,0,1200,0,0,1800,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,200,1600,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0
BLK06,0,0,2000,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK07,0,0,0,800,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK08,0,0,0,0,0,0,0,0,500,0,0,0,1400,0,0,1400,0,0,0,1900,0,1200,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK09,0,0,0,0,0,0,0,0,0,0,1200,0,200,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0
BLK10,0,1400,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,1100,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK11,0,0,0,0,0,700,0,0,0,0,0,1600,0,0,0,0,600,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
BLK12,0,0,0,0,0,0,400,0,0,0,0,0,600,0,1400,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,800
BLK13,0,0,0,0,0,0,0,600,0,0,0,1900,0,0,0,0,0,0,0,600,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0
BLK14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
BLK15,0,0,0,0,0,1700,0,0,1500,1500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,200,0,0,0,1100,0,0,0,0,0,0,0,0,0
BLK16,0,0,0,0,0,0,0,0,1500,0,0,1500,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,1500
BLK17,1200,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,200,0
BLK18,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,600,100,1100,0,0,0,1800,0,0,0,0,0,0,500,0,0,0,0
BLK19,0,0,0,0,0,900,1400,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,1600,0,0,1500,300,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK20,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,200,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,0,0,0,500,0,0,0,0,1700,0
BLK21,0,0,0,0,0,200,200,0,0,300,0,0,0,0,0,0,1400,1900,0,0,0,1300,0,700,0,0,900,0,1600,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
