BLOCK,AREA,WIDTH,HEIGHT,"ASPECT RATIO
RANGE","EDGE
HARD MACRO
SOFT",LOCATION,PORT EDGE,FT CONVERSION,,,,,,,
,,,,,,,,<=3000,">3000, <=6000",">6000, <= 9000",>9000,,,,
BLK01,532120,1004,530,1,EDGE,"LT, TL ",3,20%,40%,80%,100%,,,,
BLK02,1186105,1571,755,1,EDGE,"BR, RB",2,20%,40%,80%,100%,,,,
BLK03,2824222,1367,2066,1,MACRO,,3,20%,40%,80%,100%,,,,
BLK04,2464592,2312,1066,1,MACRO,,2,20%,40%,80%,100%,,,,
BLK05,616160,3851,160,1,EDGE,"TL,TM,TR",4,20%,40%,80%,100%,,,,
BLK06,111520,340,328,1,EDGE,"TR, RT",4,20%,40%,80%,100%,,,,
BLK07,219170,155,1414,1,EDGE,"RT, RM, RB",1,20%,40%,80%,100%,,,,
BLK08,77059,,,"0.25,4",SOFT,,,20%,40%,80%,100%,,,,
BLK09,688296,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,,
BLK10,290421,,,"0.5,2",SOFT,,,20%,40%,80%,100%,,,,
BLK11,867744,,,"0.25,4",SOFT,,,20%,40%,80%,100%,,,,
BLK12,737907,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,
BLK13,412500,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,
BLK14,816335,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,
BLK15,483450,,,"0.33,3",SOFT,,,20%,40%,80%,100%,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OUTLINE,WIDTH,HEIGHT,,,,,,,,,,,,,
MAX,6344,3691,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 α,0.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CONN MATRIX,,,,,,,,,,,,,,,
ON CHIP INTERFACE CONNECTION (1-1) MATRIX,,,,,,,,,,,,,,,
,BLK01,BLK02,BLK03,BLK04,BLK05,BLK06,BLK07,BLK08,BLK09,BLK10,BLK11,BLK12,BLK13,BLK14,BLK15
BLK01,0,0,245,25,0,0,0,761,45,214,0,0,0,0,0
BLK02,0,0,0,0,0,0,0,0,981,0,0,1242,0,1633,0
BLK03,0,432,0,0,63,0,29,89,1346,2434,3456,876,679,897,346
BLK04,0,877,0,0,76,0,0,0,1523,3562,3233,576,1234,532,284
BLK05,0,78,4,4,0,0,4,4,8,16,16,16,8,8,16
BLK06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK07,0,0,0,0,0,0,0,85,12,4,16,16,21,5,12
BLK08,2971,0,124,124,24,0,48,0,0,0,0,1827,0,0,0
BLK09,434,15,52,63,51,0,21,34,63,837,0,0,0,982,0
BLK10,0,0,2612,3157,0,0,0,0,925,0,765,1009,0,0,0
BLK11,0,0,3547,1261,670,0,0,0,0,0,0,0,0,0,0
BLK12,0,0,0,0,0,0,0,0,0,0,0,0,125,1024,847
BLK13,0,0,0,0,0,0,0,0,0,0,234,415,123,0,0
BLK14,0,0,0,621,223,0,367,0,0,0,0,0,0,0,0
BLK15,0,0,0,0,0,0,54,0,0,0,0,561,824,0,0
